# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = rectangles_model
# start_datetime = 2023-11-21 14:19:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4184456750 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_rectangle_data/../../data/rectangles/rectangles_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,v.1,v.2,r.1,r.2,r.3,m.1.1,m.2.1,m.1.2,m.2.2,m.1.3,m.2.3,threeD.1.1.1,threeD.2.1.1,threeD.3.1.1,threeD.4.1.1,threeD.1.2.1,threeD.2.2.1,threeD.3.2.1,threeD.4.2.1,threeD.1.1.2,threeD.2.1.2,threeD.3.1.2,threeD.4.1.2,threeD.1.2.2,threeD.2.2.2,threeD.3.2.2,threeD.4.2.2,threeD.1.1.3,threeD.2.1.3,threeD.3.1.3,threeD.4.1.3,threeD.1.2.3,threeD.2.2.3,threeD.3.2.3,threeD.4.2.3,nu,z.real,z.imag,zv.1.real,zv.1.imag,zv.2.real,zv.2.imag,zm.1.1.real,zm.1.1.imag,zm.2.1.real,zm.2.1.imag,zm.1.2.real,zm.1.2.imag,zm.2.2.real,zm.2.2.imag,zm.1.3.real,zm.1.3.imag,zm.2.3.real,zm.2.3.imag,z3D.1.1.1.real,z3D.1.1.1.imag,z3D.2.1.1.real,z3D.2.1.1.imag,z3D.3.1.1.real,z3D.3.1.1.imag,z3D.4.1.1.real,z3D.4.1.1.imag,z3D.1.2.1.real,z3D.1.2.1.imag,z3D.2.2.1.real,z3D.2.2.1.imag,z3D.3.2.1.real,z3D.3.2.1.imag,z3D.4.2.1.real,z3D.4.2.1.imag,z3D.1.1.2.real,z3D.1.1.2.imag,z3D.2.1.2.real,z3D.2.1.2.imag,z3D.3.1.2.real,z3D.3.1.2.imag,z3D.4.1.2.real,z3D.4.1.2.imag,z3D.1.2.2.real,z3D.1.2.2.imag,z3D.2.2.2.real,z3D.2.2.2.imag,z3D.3.2.2.real,z3D.3.2.2.imag,z3D.4.2.2.real,z3D.4.2.2.imag,z3D.1.1.3.real,z3D.1.1.3.imag,z3D.2.1.3.real,z3D.2.1.3.imag,z3D.3.1.3.real,z3D.3.1.3.imag,z3D.4.1.3.real,z3D.4.1.3.imag,z3D.1.2.3.real,z3D.1.2.3.imag,z3D.2.2.3.real,z3D.2.2.3.imag,z3D.3.2.3.real,z3D.3.2.3.imag,z3D.4.2.3.real,z3D.4.2.3.imag
# Adaptation terminated
# Step size = 0.958013
# Diagonal elements of inverse mass matrix:
# 0.857824
-0.105514,1,0.958013,1,1,0,0.133618,-0.459378,-0.459378,-0.918755,-0.918755,-1.37813,-1.83751,-2.29689,-2.84814,-3.39939,-3.95065,-4.5019,-5.05315,-2.29689,-4.59378,-6.89066,-9.18755,-2.84814,-5.69628,-8.54442,-11.3926,-3.39939,-6.79879,-10.1982,-13.5976,-3.95065,-7.9013,-11.8519,-15.8026,-4.5019,-9.0038,-13.5057,-18.0076,-5.05315,-10.1063,-15.1595,-20.2126,-0.592595,-0.592595,-1.18519,-1.77778,-2.37038,-2.96297,-3.55557,-2.29689,-1.29689,-2.84814,-1.84814,-3.39939,-2.39939,-3.95065,-2.95065,-4.5019,-3.5019,-5.05315,-4.05315,-2.29689,-1.29689,-4.59378,-3.59378,-6.89066,-5.89066,-9.18755,-8.18755,-2.84814,-1.84814,-5.69628,-4.69628,-8.54442,-7.54442,-11.3926,-10.3926,-3.39939,-2.39939,-6.79879,-5.79879,-10.1982,-9.19818,-13.5976,-12.5976,-3.95065,-2.95065,-7.9013,-6.9013,-11.8519,-10.8519,-15.8026,-14.8026,-4.5019,-3.5019,-9.0038,-8.0038,-13.5057,-12.5057,-18.0076,-17.0076,-5.05315,-4.05315,-10.1063,-9.10631,-15.1595,-14.1595,-20.2126,-19.2126
-1.59845,0.854765,0.958013,2,3,0,1.59853,1.78799,1.78799,3.57597,3.57597,5.36396,7.15195,8.93993,11.0855,13.2311,15.3767,17.5223,19.6679,8.93993,17.8799,26.8198,35.7597,11.0855,22.171,33.2565,44.3421,13.2311,26.4622,39.6933,52.9244,15.3767,30.7534,46.1301,61.5067,17.5223,35.0445,52.5668,70.0891,19.6679,39.3357,59.0036,78.6714,0.489196,0.489196,0.978391,1.46759,1.95678,2.44598,2.93517,8.93993,9.93993,11.0855,12.0855,13.2311,14.2311,15.3767,16.3767,17.5223,18.5223,19.6679,20.6679,8.93993,9.93993,17.8799,18.8799,26.8198,27.8198,35.7597,36.7597,11.0855,12.0855,22.171,23.171,33.2565,34.2565,44.3421,45.3421,13.2311,14.2311,26.4622,27.4622,39.6933,40.6933,52.9244,53.9244,15.3767,16.3767,30.7534,31.7534,46.1301,47.1301,61.5067,62.5067,17.5223,18.5223,35.0445,36.0445,52.5668,53.5668,70.0891,71.0891,19.6679,20.6679,39.3357,40.3357,59.0036,60.0036,78.6714,79.6714
-2.19266,0.889625,0.958013,1,1,0,2.36321,2.09411,2.09411,4.18823,4.18823,6.28234,8.37645,10.4706,12.9835,15.4964,18.0094,20.5223,23.0352,10.4706,20.9411,31.4117,41.8823,12.9835,25.967,38.9505,51.934,15.4964,30.9929,46.4893,61.9858,18.0094,36.0188,54.0281,72.0375,20.5223,41.0446,61.5669,82.0892,23.0352,46.0705,69.1057,92.141,-0.375296,-0.375296,-0.750591,-1.12589,-1.50118,-1.87648,-2.25177,10.4706,11.4706,12.9835,13.9835,15.4964,16.4964,18.0094,19.0094,20.5223,21.5223,23.0352,24.0352,10.4706,11.4706,20.9411,21.9411,31.4117,32.4117,41.8823,42.8823,12.9835,13.9835,25.967,26.967,38.9505,39.9505,51.934,52.934,15.4964,16.4964,30.9929,31.9929,46.4893,47.4893,61.9858,62.9858,18.0094,19.0094,36.0188,37.0188,54.0281,55.0281,72.0375,73.0375,20.5223,21.5223,41.0446,42.0446,61.5669,62.5669,82.0892,83.0892,23.0352,24.0352,46.0705,47.0705,69.1057,70.1057,92.141,93.141
-2.35916,0.967758,0.958013,1,1,0,2.7426,2.17217,2.17217,4.34434,4.34434,6.51651,8.68868,10.8609,13.4675,16.0741,18.6807,21.2873,23.8939,10.8609,21.7217,32.5826,43.4434,13.4675,26.9349,40.4024,53.8698,16.0741,32.1481,48.2222,64.2962,18.6807,37.3613,56.042,74.7227,21.2873,42.5745,63.8618,85.1491,23.8939,47.7878,71.6816,95.5755,2.61328,2.61328,5.22657,7.83985,10.4531,13.0664,15.6797,10.8609,11.8609,13.4675,14.4675,16.0741,17.0741,18.6807,19.6807,21.2873,22.2873,23.8939,24.8939,10.8609,11.8609,21.7217,22.7217,32.5826,33.5826,43.4434,44.4434,13.4675,14.4675,26.9349,27.9349,40.4024,41.4024,53.8698,54.8698,16.0741,17.0741,32.1481,33.1481,48.2222,49.2222,64.2962,65.2962,18.6807,19.6807,37.3613,38.3613,56.042,57.042,74.7227,75.7227,21.2873,22.2873,42.5745,43.5745,63.8618,64.8618,85.1491,86.1491,23.8939,24.8939,47.7878,48.7878,71.6816,72.6816,95.5755,96.5755
-0.136195,0.969149,0.958013,1,3,0,2.3232,0.52191,0.52191,1.04382,1.04382,1.56573,2.08764,2.60955,3.23584,3.86213,4.48843,5.11472,5.74101,2.60955,5.2191,7.82865,10.4382,3.23584,6.47168,9.70753,12.9434,3.86213,7.72427,11.5864,15.4485,4.48843,8.97685,13.4653,17.9537,5.11472,10.2294,15.3442,20.4589,5.74101,11.482,17.223,22.964,-0.95792,-0.95792,-1.91584,-2.87376,-3.83168,-4.7896,-5.74752,2.60955,3.60955,3.23584,4.23584,3.86213,4.86213,4.48843,5.48843,5.11472,6.11472,5.74101,6.74101,2.60955,3.60955,5.2191,6.2191,7.82865,8.82865,10.4382,11.4382,3.23584,4.23584,6.47168,7.47168,9.70753,10.7075,12.9434,13.9434,3.86213,4.86213,7.72427,8.72427,11.5864,12.5864,15.4485,16.4485,4.48843,5.48843,8.97685,9.97685,13.4653,14.4653,17.9537,18.9537,5.11472,6.11472,10.2294,11.2294,15.3442,16.3442,20.4589,21.4589,5.74101,6.74101,11.482,12.482,17.223,18.223,22.964,23.964
-0.247043,0.978419,0.958013,1,1,0,0.252859,0.702912,0.702912,1.40582,1.40582,2.10874,2.81165,3.51456,4.35806,5.20155,6.04505,6.88854,7.73204,3.51456,7.02912,10.5437,14.0582,4.35806,8.71611,13.0742,17.4322,5.20155,10.4031,15.6047,20.8062,6.04505,12.0901,18.1351,24.1802,6.88854,13.7771,20.6656,27.5542,7.73204,15.4641,23.1961,30.9281,0.0780421,0.0780421,0.156084,0.234126,0.312168,0.39021,0.468252,3.51456,4.51456,4.35806,5.35806,5.20155,6.20155,6.04505,7.04505,6.88854,7.88854,7.73204,8.73204,3.51456,4.51456,7.02912,8.02912,10.5437,11.5437,14.0582,15.0582,4.35806,5.35806,8.71611,9.71611,13.0742,14.0742,17.4322,18.4322,5.20155,6.20155,10.4031,11.4031,15.6047,16.6047,20.8062,21.8062,6.04505,7.04505,12.0901,13.0901,18.1351,19.1351,24.1802,25.1802,6.88854,7.88854,13.7771,14.7771,20.6656,21.6656,27.5542,28.5542,7.73204,8.73204,15.4641,16.4641,23.1961,24.1961,30.9281,31.9281
