# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = pure_01_model
# start_datetime = 2023-12-14 14:11:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1876201642 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/data/pure_01/pure_01_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-97-g305c045
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,mu,nu,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2,z.real,z.imag,zv.1.real,zv.1.imag,zv.2.real,zv.2.imag
# Adaptation terminated
# Step size = 0.459898
# Diagonal elements of inverse mass matrix:
# 1.07148, 1.08306, 2.11037, 0.985008, 0.936816, 1.00874, 1.07771, 1.12847, 1.00873, 0.903077, 1.16554, 0.949761, 1.15114, 1.1186, 1.19795, 0.973156, 1.05645, 1.08456
-7.14666,1,0.459898,3,7,0,19.4262,-0.0254691,-0.455961,-0.805209,1.05417,-2.00938,0.734598,0.390414,0.220495,-0.176723,-1.68601,-0.0803667,-0.293149,-0.567608,-0.118118,0.343458,-0.219863,1.58543,-1.44601,-0.805209,-1.61042,-2.41563,-3.22084,-4.02604,-4.83125
-6.2446,0.972605,0.459898,3,7,0,13.747,0.743072,-1.35385,-1.75538,-0.560246,-1.74038,-1.50006,-0.0368465,0.752069,-0.212656,0.761881,0.0734191,-0.73727,0.197374,1.18334,-0.163577,0.202867,-0.939007,-0.468428,-1.75538,-3.51077,-5.26615,-7.02154,-8.77692,-10.5323
-10.8508,0.870721,0.459898,3,7,0,16.5826,-1.83233,-0.911428,-1.05617,-1.59365,1.06658,-0.877701,-0.64325,-1.05044,0.435655,0.123456,0.46286,0.733913,-1.34201,-0.640835,0.383845,-2.50037,1.35174,0.363002,-1.05617,-2.11235,-3.16852,-4.2247,-5.28087,-6.33704
-10.1191,0.907818,0.459898,3,7,0,19.102,1.57648,0.230542,-0.960234,1.66415,-0.523722,0.883879,0.868724,1.03671,0.195838,0.186612,-0.594409,-0.494986,1.30164,0.67942,-0.330396,2.54903,-1.08269,0.14556,-0.960234,-1.92047,-2.8807,-3.84094,-4.80117,-5.7614
-9.22774,1,0.459898,3,7,0,18.6165,0.964582,-1.43868,-0.823718,-0.446071,1.32482,2.65474,0.166064,-0.285124,-0.0602352,0.870083,1.70106,-0.596942,0.663522,-0.69152,0.446686,-0.753065,-0.515096,0.0735247,-0.823718,-1.64744,-2.47115,-3.29487,-4.11859,-4.94231
-15.9343,0.682685,0.459898,3,7,0,26.7549,1.32194,2.95995,1.24424,0.181732,-0.477432,-2.56123,0.359587,0.14011,-1.27469,-1.40053,-0.847299,-1.0337,0.122182,0.865867,-0.68023,1.51231,1.56387,-0.336919,1.24424,2.48847,3.73271,4.97694,6.22118,7.46542
