# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = one_row_model
# start_datetime = 2023-11-21 14:19:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4184457197 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_edge_data/../../data/one_row/one_row_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,z.1.1,z.2.1,z.3.1,z.4.1,z.1.2,z.2.2,z.3.2,z.4.2,z.1.3,z.2.3,z.3.3,z.4.3
# Adaptation terminated
# Step size = 1.11314
# Diagonal elements of inverse mass matrix:
# 0.44264
-6.91178,1,1.11314,2,3,0,7.42643,0.325633,1,2,3,4,1,2,3,4,1,2,3,4
-7.15199,0.729186,1.11314,2,3,0,8.11097,0.150217,1,2,3,4,1,2,3,4,1,2,3,4
-7.13752,0.946154,1.11314,1,3,0,7.72858,0.369423,1,2,3,4,1,2,3,4,1,2,3,4
-7.13752,0.520938,1.11314,1,1,0,8.17488,0.369423,1,2,3,4,1,2,3,4,1,2,3,4
-7.35357,0.919364,1.11314,1,1,0,7.47406,0.400966,1,2,3,4,1,2,3,4,1,2,3,4
-6.90542,0.953734,1.11314,1,3,0,7.59362,0.184592,1,2,3,4,1,2,3,4,1,2,3,4
-7.13117,0.948584,1.11314,1,1,0,7.13875,0.152476,1,2,3,4,1,2,3,4,1,2,3,4
-6.87381,0.926153,1.11314,2,3,0,8.28872,0.191054,1,2,3,4,1,2,3,4,1,2,3,4
-6.75036,1,1.11314,2,3,0,6.86825,0.258604,1,2,3,4,1,2,3,4,1,2,3,4
-6.81323,0.987196,1.11314,2,3,0,6.82983,0.206768,1,2,3,4,1,2,3,4,1,2,3,4
-6.91521,0.967972,1.11314,1,3,0,7.03912,0.32646,1,2,3,4,1,2,3,4,1,2,3,4
-7.36481,0.930986,1.11314,2,3,0,7.392,0.40245,1,2,3,4,1,2,3,4,1,2,3,4
-6.99573,1,1.11314,1,1,0,7.28119,0.344008,1,2,3,4,1,2,3,4,1,2,3,4
-6.94262,1,1.11314,2,3,0,7.03746,0.332798,1,2,3,4,1,2,3,4,1,2,3,4
-6.77323,0.991887,1.11314,1,3,0,6.9701,0.222659,1,2,3,4,1,2,3,4,1,2,3,4
-7.33733,0.790976,1.11314,2,3,0,8.00691,0.3988,1,2,3,4,1,2,3,4,1,2,3,4
-9.1368,0.728751,1.11314,2,3,0,9.26032,0.560564,1,2,3,4,1,2,3,4,1,2,3,4
-7.60321,1,1.11314,1,1,0,8.73974,0.431383,1,2,3,4,1,2,3,4,1,2,3,4
-7.06247,1,1.11314,1,1,0,7.46527,0.356628,1,2,3,4,1,2,3,4,1,2,3,4
-6.93741,1,1.11314,1,1,0,7.06865,0.331627,1,2,3,4,1,2,3,4,1,2,3,4
-7.2044,0.841912,1.11314,2,3,0,7.68844,0.144858,1,2,3,4,1,2,3,4,1,2,3,4
-8.42782,0.769916,1.11314,1,3,0,9.26658,0.509008,1,2,3,4,1,2,3,4,1,2,3,4
-7.08251,1,1.11314,1,1,0,7.94595,0.36017,1,2,3,4,1,2,3,4,1,2,3,4
-6.75139,0.772811,1.11314,2,3,0,7.96377,0.260355,1,2,3,4,1,2,3,4,1,2,3,4
-6.7482,0.999982,1.11314,2,3,0,6.75156,0.247634,1,2,3,4,1,2,3,4,1,2,3,4
-9.15123,0.539497,1.11314,1,3,0,9.25259,0.561516,1,2,3,4,1,2,3,4,1,2,3,4
-7.06348,0.975208,1.11314,1,3,0,9.41945,0.16043,1,2,3,4,1,2,3,4,1,2,3,4
-7.06348,0.849466,1.11314,1,3,0,8.18314,0.16043,1,2,3,4,1,2,3,4,1,2,3,4
-6.88474,1,1.11314,1,1,0,7.0294,0.188722,1,2,3,4,1,2,3,4,1,2,3,4
-6.78559,1,1.11314,1,1,0,6.85872,0.216824,1,2,3,4,1,2,3,4,1,2,3,4
-6.81554,0.991798,1.11314,1,1,0,6.82138,0.206043,1,2,3,4,1,2,3,4,1,2,3,4
-6.85286,0.91993,1.11314,2,3,0,7.4152,0.195871,1,2,3,4,1,2,3,4,1,2,3,4
-7.50219,0.842483,1.11314,1,3,0,7.75808,0.419658,1,2,3,4,1,2,3,4,1,2,3,4
-6.76417,1,1.11314,1,3,0,7.38176,0.227995,1,2,3,4,1,2,3,4,1,2,3,4
-8.52313,0.6546,1.11314,1,3,0,9.01606,0.0733508,1,2,3,4,1,2,3,4,1,2,3,4
-6.78254,1,1.11314,2,3,0,8.32687,0.218152,1,2,3,4,1,2,3,4,1,2,3,4
-6.9725,0.947239,1.11314,1,3,0,7.06361,0.339257,1,2,3,4,1,2,3,4,1,2,3,4
-7.68505,0.873795,1.11314,2,3,0,7.68827,0.109165,1,2,3,4,1,2,3,4,1,2,3,4
-6.86534,1,1.11314,1,3,0,7.53341,0.19294,1,2,3,4,1,2,3,4,1,2,3,4
-7.42746,0.926611,1.11314,2,3,0,7.65279,0.410499,1,2,3,4,1,2,3,4,1,2,3,4
-6.75602,1,1.11314,1,3,0,7.21004,0.26603,1,2,3,4,1,2,3,4,1,2,3,4
-7.69772,0.760456,1.11314,1,3,0,8.05505,0.10844,1,2,3,4,1,2,3,4,1,2,3,4
-7.4831,1,1.11314,1,1,0,7.76288,0.121936,1,2,3,4,1,2,3,4,1,2,3,4
-8.48378,0.863389,1.11314,2,3,0,9.31675,0.074627,1,2,3,4,1,2,3,4,1,2,3,4
-9.83598,0.878989,1.11314,1,1,0,9.84439,0.0429876,1,2,3,4,1,2,3,4,1,2,3,4
-6.74998,0.972153,1.11314,2,3,0,10.3528,0.242235,1,2,3,4,1,2,3,4,1,2,3,4
-7.75698,0.774683,1.11314,1,3,0,8.00741,0.105151,1,2,3,4,1,2,3,4,1,2,3,4
-6.92622,1,1.11314,1,3,0,7.59713,0.18075,1,2,3,4,1,2,3,4,1,2,3,4
-7.04582,0.972275,1.11314,1,1,0,7.06923,0.162684,1,2,3,4,1,2,3,4,1,2,3,4
-7.19925,0.934357,1.11314,1,3,0,7.6721,0.379118,1,2,3,4,1,2,3,4,1,2,3,4
-7.30558,0.959366,1.11314,1,1,0,7.45933,0.394481,1,2,3,4,1,2,3,4,1,2,3,4
-6.74934,1,1.11314,1,3,0,7.17512,0.243623,1,2,3,4,1,2,3,4,1,2,3,4
-7.12526,0.824984,1.11314,2,3,0,7.7396,0.153131,1,2,3,4,1,2,3,4,1,2,3,4
-7.90842,0.937245,1.11314,2,3,0,7.99588,0.463245,1,2,3,4,1,2,3,4,1,2,3,4
-7.92316,0.993985,1.11314,1,1,0,8.37076,0.464673,1,2,3,4,1,2,3,4,1,2,3,4
-7.30086,1,1.11314,1,1,0,7.8316,0.39383,1,2,3,4,1,2,3,4,1,2,3,4
-7.30086,0.744496,1.11314,1,3,0,8.18596,0.39383,1,2,3,4,1,2,3,4,1,2,3,4
-7.60717,0.885143,1.11314,1,1,0,7.78488,0.431829,1,2,3,4,1,2,3,4,1,2,3,4
-7.46,0.688893,1.11314,1,3,0,8.92719,0.123565,1,2,3,4,1,2,3,4,1,2,3,4
-6.84395,1,1.11314,2,3,0,7.28995,0.307218,1,2,3,4,1,2,3,4,1,2,3,4
-7.15594,0.892458,1.11314,1,1,0,7.16729,0.372386,1,2,3,4,1,2,3,4,1,2,3,4
-6.76122,1,1.11314,1,3,0,7.02436,0.270663,1,2,3,4,1,2,3,4,1,2,3,4
-7.43659,0.815938,1.11314,1,3,0,7.70419,0.125257,1,2,3,4,1,2,3,4,1,2,3,4
-7.12048,0.910085,1.11314,2,3,0,8.05606,0.366625,1,2,3,4,1,2,3,4,1,2,3,4
-8.09232,0.679628,1.11314,1,1,0,8.16893,0.480459,1,2,3,4,1,2,3,4,1,2,3,4
-10.1121,0.440518,1.11314,1,1,0,10.4989,0.618391,1,2,3,4,1,2,3,4,1,2,3,4
-7.07524,1,1.11314,1,3,0,10.1921,0.158974,1,2,3,4,1,2,3,4,1,2,3,4
-7.42553,0.930957,1.11314,1,1,0,7.44278,0.126072,1,2,3,4,1,2,3,4,1,2,3,4
-7.20856,1,1.11314,1,1,0,7.44076,0.14445,1,2,3,4,1,2,3,4,1,2,3,4
-8.5378,0.755007,1.11314,1,3,0,9.39323,0.517701,1,2,3,4,1,2,3,4,1,2,3,4
-7.54645,1,1.11314,1,1,0,8.36765,0.424882,1,2,3,4,1,2,3,4,1,2,3,4
-6.95363,1,1.11314,1,1,0,7.35356,0.335228,1,2,3,4,1,2,3,4,1,2,3,4
-7.0941,0.784235,1.11314,2,3,0,7.89214,0.156706,1,2,3,4,1,2,3,4,1,2,3,4
-6.74886,0.986488,1.11314,1,3,0,7.07118,0.255129,1,2,3,4,1,2,3,4,1,2,3,4
-6.96734,0.954701,1.11314,2,3,0,7.03078,0.173875,1,2,3,4,1,2,3,4,1,2,3,4
-6.74972,0.99131,1.11314,1,3,0,6.9549,0.257338,1,2,3,4,1,2,3,4,1,2,3,4
-7.07282,0.936194,1.11314,2,3,0,7.15087,0.159271,1,2,3,4,1,2,3,4,1,2,3,4
-6.75511,0.999954,1.11314,1,3,0,7.01453,0.235316,1,2,3,4,1,2,3,4,1,2,3,4
-6.81314,0.949177,1.11314,2,3,0,7.03643,0.206797,1,2,3,4,1,2,3,4,1,2,3,4
-7.70806,0.552626,1.11314,2,3,0,9.9815,0.107854,1,2,3,4,1,2,3,4,1,2,3,4
-6.75352,0.966151,1.11314,1,3,0,7.64077,0.237045,1,2,3,4,1,2,3,4,1,2,3,4
-8.95467,0.570334,1.11314,1,3,0,9.08705,0.548247,1,2,3,4,1,2,3,4,1,2,3,4
-8.95467,0.851538,1.11314,1,1,0,10.0331,0.548247,1,2,3,4,1,2,3,4,1,2,3,4
-7.00903,1,1.11314,1,1,0,8.20516,0.346637,1,2,3,4,1,2,3,4,1,2,3,4
-7.00903,0.724347,1.11314,1,1,0,7.55756,0.346637,1,2,3,4,1,2,3,4,1,2,3,4
-6.80421,1,1.11314,2,3,0,6.9923,0.209737,1,2,3,4,1,2,3,4,1,2,3,4
-6.75292,1,1.11314,2,3,0,6.79729,0.262512,1,2,3,4,1,2,3,4,1,2,3,4
-7.02767,0.929534,1.11314,1,3,0,7.03427,0.350219,1,2,3,4,1,2,3,4,1,2,3,4
-6.85627,1,1.11314,1,1,0,6.98667,0.310928,1,2,3,4,1,2,3,4,1,2,3,4
-6.75992,0.916724,1.11314,2,3,0,7.16853,0.269609,1,2,3,4,1,2,3,4,1,2,3,4
-6.85642,0.975983,1.11314,1,3,0,6.85642,0.310972,1,2,3,4,1,2,3,4,1,2,3,4
-7.07283,0.974621,1.11314,2,3,0,7.07413,0.15927,1,2,3,4,1,2,3,4,1,2,3,4
-8.02602,0.936389,1.11314,2,3,0,8.26665,0.474397,1,2,3,4,1,2,3,4,1,2,3,4
