# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = arrays_model
# start_datetime = 2023-11-21 14:19:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4184456367 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_array_data/../../data/arrays/arrays_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1,x.2,x.3,x.4,y.1.1,y.2.1,y.1.2,y.2.2,y.1.3,y.2.3,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.1.3,z.2.1.3,z.1.2.3,z.2.2.3
# Adaptation terminated
# Step size = 0.25717
# Diagonal elements of inverse mass matrix:
# 0.983791, 1.08391, 0.990849, 1.03811, 1.15771, 1.02111, 1.00484, 0.992745, 0.982148, 0.884215, 1.11262, 0.93309, 1.04858, 1.88361, 1.00036, 1.09093, 2.13885, 0.903616, 1.51414, 0.985684, 1.0514, 1.30289, 0.981235
-24.2561,0.476418,0.25717,4,15,0,32.0457,0.189571,-1.66406,-0.963824,-0.663655,-1.69026,-0.330224,-0.0379395,1.00775,0.571343,0.856841,0.585532,1.13977,2.07025,0.210667,0.269842,0.170702,0.704359,0.131702,1.8505,3.56642,0.222286,0.668192,2.32501
-24.4853,0.991206,0.25717,3,7,0,33.9702,0.328911,-2.04789,-0.462701,-0.613164,-1.73633,-0.0832802,0.10497,1.07047,0.69653,0.660969,0.742543,0.959325,1.84554,0.252938,0.272818,0.18338,0.556634,0.106939,3.28477,1.43771,0.2202,0.549353,2.85249
-16.1927,1,0.25717,4,15,0,35.1042,1.27311,-1.25776,0.0387315,-0.0425006,-0.586978,-0.785675,0.803632,-0.415588,1.5888,0.614438,0.0800235,1.61401,0.667718,0.454696,0.523839,0.376351,0.287741,0.0755414,0.346448,0.68298,1.47772,1.96251,0.897032
-16.4397,0.977825,0.25717,4,15,0,23.2953,1.07089,-1.1213,0.272251,-0.137258,-0.866918,-0.935083,1.01876,-0.626025,1.47513,0.729627,0.0877821,1.70017,0.754259,0.52863,0.358411,0.444389,0.350288,0.107955,0.4595,0.9797,2.02937,2.09825,0.904218
-16.4397,0.00130204,0.25717,3,7,0,28.8728,1.07089,-1.1213,0.272251,-0.137258,-0.866918,-0.935083,1.01876,-0.626025,1.47513,0.729627,0.0877821,1.70017,0.754259,0.52863,0.358411,0.444389,0.350288,0.107955,0.4595,0.9797,2.02937,2.09825,0.904218
-22.3742,0.951441,0.25717,4,15,0,27.9801,-2.25695,0.286574,0.16122,-0.900856,0.440811,0.736626,-1.05421,0.509328,-1.3514,-0.701133,-0.658838,0.297344,1.24594,0.635706,0.0563932,1.42233,0.334567,0.206029,0.0189728,0.717831,0.259996,0.177639,1.04913
-24.5581,0.900769,0.25717,4,15,0,34.2027,-2.16746,0.0116951,1.05014,-0.22813,0.0455548,0.927492,-1.03372,-0.175792,-1.1475,-0.959306,-0.404522,0.192826,0.947065,0.936373,0.0474014,2.36199,0.611025,0.403773,0.0337818,0.223745,0.338967,0.0571161,1.93828
-21.0337,0.783253,0.25717,4,15,0,35.0715,-0.624315,2.10999,0.846071,0.328635,-0.425989,-2.06179,1.3081,0.300804,0.267266,0.665281,0.316862,1.5953,0.851732,1.23269,0.0377786,0.271723,1.42604,0.190375,0.150236,1.65157,0.896999,2.08364,0.30789
-19.6651,0.980217,0.25717,4,15,0,31.444,-0.976401,0.621716,-0.7388,-0.937108,0.0406905,-1.94975,-0.962494,1.07596,-2.15284,0.484634,1.17874,0.771895,0.545947,1.1278,0.593343,0.729574,0.692222,0.0932028,0.0518846,0.561985,0.800789,0.325272,0.586166
