# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = tuple_model_model
# start_datetime = 2023-11-22 17:48:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4283406309 (Default)
# output
#   file = /Users/rob/Projects/Julia/notebooks/notebooks/tmp/tuple_model_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,r,x.1.1,x.2.1,x.1.2,x.2.2,x.1.3,x.2.3,bar:1,bar:2,bar2:1,bar2:2:1,bar2:2:2,bar2:3,bar3:1,bar3:2:1,bar3:2:2:1,bar3:2:2:2,bar3:3
# Adaptation terminated
# Step size = 0.631152
# Diagonal elements of inverse mass matrix:
# 1.00904, 1.08466, 0.903126, 1.1709, 0.93287, 0.961511, 0.986939, 1.14513, 1.07709, 0.948992, 1.04859, 0.925372, 0.78256, 1.01751, 1.13247, 0.95238, 0.94089, 1.02542
-10.1968,0.915098,0.631152,3,7,0,18.7973,-0.695829,-1.4014,-1.12629,1.69181,-0.435128,-0.430959,-2.04569,-0.357391,1.35915,0.589173,-0.269961,1.07399,-0.322983,0.995065,0.500325,-1.80823,-0.119158,-1.03806
-7.97948,0.966701,0.631152,3,7,0,16.5155,0.220118,-1.40532,0.975395,-0.659818,-1.02772,0.34982,1.18189,1.75682,-0.762292,1.33632,-0.65342,-0.400923,-0.0851911,-0.569526,0.326899,1.86352,0.132891,0.0601096
-9.29486,0.938965,0.631152,3,7,0,15.4276,-0.130438,-0.325491,1.10385,0.978273,0.943867,-0.195096,-1.19992,-1.27405,-0.472874,-1.41018,-0.776821,2.22454,0.707287,0.362155,-0.798741,-1.31655,-1.13076,0.503659
-9.64025,0.675036,0.631152,3,7,0,24.7405,0.964143,1.18255,0.316244,-0.708678,0.296012,1.12241,0.312066,1.77785,-0.228087,0.776197,0.935396,-1.96913,1.85721,0.294756,0.817647,0.546896,1.29015,-0.411741
-10.805,0.933183,0.631152,3,7,0,19.2977,1.07218,-0.23704,-1.09566,0.422978,1.12323,1.1172,-0.218636,0.237745,0.449211,-2.27787,-1.99895,-0.568127,2.19113,-0.552294,0.152364,0.698837,1.023,0.193387
-14.0692,0.75607,0.631152,3,7,0,24.7212,1.74739,0.29776,3.3843,0.0321529,0.541196,1.11036,-0.230696,0.361832,0.191333,-0.491812,2.44354,1.09857,-0.696579,0.258088,-1.10092,0.0404151,-0.0937328,1.61287
