# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = brian_tuples_model
# start_datetime = 2023-11-21 14:19:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4184457688 (Default)
# output
#   file = /Users/rob/.julia/dev/StanIO/test/generate_brian_tuple_data/../../data/brian_tuples/brian_tuples_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = --warn-pedantic
lp__,accept_stat__,base,base_i,pair:1,pair:2,nested:1,nested:2:1,nested:2:2.real,nested:2:2.imag,arr_pair.1:1,arr_pair.1:2,arr_pair.2:1,arr_pair.2:2,arr_very_nested.1:1:1,arr_very_nested.1:1:2:1,arr_very_nested.1:1:2:2.real,arr_very_nested.1:1:2:2.imag,arr_very_nested.1:2,arr_very_nested.2:1:1,arr_very_nested.2:1:2:1,arr_very_nested.2:1:2:2.real,arr_very_nested.2:1:2:2.imag,arr_very_nested.2:2,arr_very_nested.3:1:1,arr_very_nested.3:1:2:1,arr_very_nested.3:1:2:2.real,arr_very_nested.3:1:2:2.imag,arr_very_nested.3:2,arr_2d_pair.1.1:1,arr_2d_pair.1.1:2,arr_2d_pair.2.1:1,arr_2d_pair.2.1:2,arr_2d_pair.3.1:1,arr_2d_pair.3.1:2,arr_2d_pair.1.2:1,arr_2d_pair.1.2:2,arr_2d_pair.2.2:1,arr_2d_pair.2.2:2,arr_2d_pair.3.2:1,arr_2d_pair.3.2:2
0,0,-0.178257,27,-0.178257,-0.356513,-0.53477,27,-0,-0.713027,-0.178257,-0.356513,-0.891283,-1.06954,-0.53477,27,-0,-0.713027,-1.2478,-1.42605,54,-0,-1.60431,-1.78257,-0.53477,27,-0,-0.713027,-1.96082,-2.13908,-2.31734,-2.85211,-3.03036,-3.56513,-3.74339,-2.49559,-2.67385,-3.20862,-3.38688,-3.92165,-4.0999
0,0,-0.401206,-1,-0.401206,-0.802412,-1.20362,-1,-0,-1.60482,-0.401206,-0.802412,-2.00603,-2.40724,-1.20362,-1,-0,-1.60482,-2.80844,-3.20965,-2,-0,-3.61085,-4.01206,-1.20362,-1,-0,-1.60482,-4.41327,-4.81447,-5.21568,-6.4193,-6.8205,-8.02412,-8.42532,-5.61688,-6.01809,-7.22171,-7.62291,-8.82653,-9.22774
0,0,1.53825,25,1.53825,3.07649,4.61474,25,0,6.15298,1.53825,3.07649,7.69123,9.22948,4.61474,25,0,6.15298,10.7677,12.306,50,0,13.8442,15.3825,4.61474,25,0,6.15298,16.9207,18.459,19.9972,24.6119,26.1502,30.7649,32.3032,21.5354,23.0737,27.6884,29.2267,33.8414,35.3797
0,0,0.602407,21,0.602407,1.20481,1.80722,21,0,2.40963,0.602407,1.20481,3.01203,3.61444,1.80722,21,0,2.40963,4.21685,4.81926,42,0,5.42166,6.02407,1.80722,21,0,2.40963,6.62648,7.22888,7.83129,9.63851,10.2409,12.0481,12.6505,8.4337,9.0361,10.8433,11.4457,13.253,13.8554
0,0,-1.01985,12,-1.01985,-2.0397,-3.05955,12,-0,-4.0794,-1.01985,-2.0397,-5.09925,-6.1191,-3.05955,12,-0,-4.0794,-7.13894,-8.15879,24,-0,-9.17864,-10.1985,-3.05955,12,-0,-4.0794,-11.2183,-12.2382,-13.258,-16.3176,-17.3374,-20.397,-21.4168,-14.2779,-15.2977,-18.3573,-19.3771,-22.4367,-23.4565
0,0,-0.471362,15,-0.471362,-0.942723,-1.41409,15,-0,-1.88545,-0.471362,-0.942723,-2.35681,-2.82817,-1.41409,15,-0,-1.88545,-3.29953,-3.77089,30,-0,-4.24226,-4.71362,-1.41409,15,-0,-1.88545,-5.18498,-5.65634,-6.1277,-7.54179,-8.01315,-9.42723,-9.8986,-6.59906,-7.07043,-8.48451,-8.95587,-10.37,-10.8413
0,0,2.21356,9,2.21356,4.42713,6.64069,9,0,8.85425,2.21356,4.42713,11.0678,13.2814,6.64069,9,0,8.85425,15.4949,17.7085,18,0,19.9221,22.1356,6.64069,9,0,8.85425,24.3492,26.5628,28.7763,35.417,37.6306,44.2713,46.4848,30.9899,33.2035,39.8441,42.0577,48.6984,50.912
0,0,-0.633945,6,-0.633945,-1.26789,-1.90184,6,-0,-2.53578,-0.633945,-1.26789,-3.16973,-3.80367,-1.90184,6,-0,-2.53578,-4.43762,-5.07156,12,-0,-5.70551,-6.33945,-1.90184,6,-0,-2.53578,-6.9734,-7.60734,-8.24129,-10.1431,-10.7771,-12.6789,-13.3129,-8.87523,-9.50918,-11.411,-12.045,-13.9468,-14.5807
0,0,-0.274705,-5,-0.274705,-0.54941,-0.824116,-5,-0,-1.09882,-0.274705,-0.54941,-1.37353,-1.64823,-0.824116,-5,-0,-1.09882,-1.92294,-2.19764,-10,-0,-2.47235,-2.74705,-0.824116,-5,-0,-1.09882,-3.02176,-3.29646,-3.57117,-4.39528,-4.66999,-5.4941,-5.76881,-3.84587,-4.12058,-4.94469,-5.2194,-6.04352,-6.31822
0,0,0.672036,14,0.672036,1.34407,2.01611,14,0,2.68814,0.672036,1.34407,3.36018,4.03222,2.01611,14,0,2.68814,4.70425,5.37629,28,0,6.04833,6.72036,2.01611,14,0,2.68814,7.3924,8.06443,8.73647,10.7526,11.4246,13.4407,14.1128,9.40851,10.0805,12.0967,12.7687,14.7848,15.4568
